.HEADER
..NAMES
Time,V U2.P3
.DATA
4.39961e-008,1.2304
4.40421e-008,1.2360
4.40880e-008,1.2361
4.41339e-008,1.2316
4.41798e-008,1.2243
4.42258e-008,1.2164
4.42717e-008,1.2114
4.43176e-008,1.2109
4.43635e-008,1.2152
4.44095e-008,1.2225
4.44554e-008,1.2300
4.45013e-008,1.2347
4.45472e-008,1.2342
4.45932e-008,1.2288
4.46391e-008,1.2211
4.46850e-008,1.2148
4.47309e-008,1.2125
4.47769e-008,1.2153
4.48228e-008,1.2213
4.48687e-008,1.2278
4.49146e-008,1.2320
4.49606e-008,1.2322
4.50065e-008,1.2289
4.50524e-008,1.2240
4.50983e-008,1.2197
4.51443e-008,1.2177
4.51902e-008,1.2183
4.52361e-008,1.2211
4.52821e-008,1.2246
4.53280e-008,1.2275
4.53739e-008,1.2287
4.54198e-008,1.2280
4.54658e-008,1.2259
4.55117e-008,1.2230
4.55576e-008,1.2207
4.56035e-008,1.2199
4.56495e-008,1.2210
4.56954e-008,1.2235
4.57413e-008,1.2263
4.57872e-008,1.2282
4.58332e-008,1.2284
4.58791e-008,1.2267
4.59250e-008,1.2239
4.59709e-008,1.2216
4.60169e-008,1.2206
4.60628e-008,1.2215
4.61087e-008,1.2236
4.61546e-008,1.2260
4.62006e-008,1.2275
4.62465e-008,1.2276
4.62924e-008,1.2264
4.63383e-008,1.2246
4.63843e-008,1.2230
4.64302e-008,1.2222
4.64761e-008,1.2225
4.65220e-008,1.2236
4.65680e-008,1.2250
4.66139e-008,1.2262
4.66598e-008,1.2268
4.67057e-008,1.2265
4.67517e-008,1.2256
4.67976e-008,1.2244
4.68435e-008,1.2234
4.68894e-008,1.2229
4.69354e-008,1.2233
4.69813e-008,1.2243
4.70272e-008,1.2256
4.70731e-008,1.2265
4.71190e-008,1.2266
4.71650e-008,1.2260
4.72109e-008,1.2249
4.72568e-008,1.2239
4.73027e-008,1.2234
4.73487e-008,1.2237
4.73946e-008,1.2245
4.74405e-008,1.2254
4.74864e-008,1.2261
4.75324e-008,1.2262
4.75783e-008,1.2258
4.76242e-008,1.2245
4.76701e-008,1.2056
4.77161e-008,1.1292
4.77620e-008,1.0261
4.78079e-008,0.9081
4.78538e-008,0.7486
4.78998e-008,0.5887
4.79457e-008,0.4535
4.79916e-008,0.3629
4.80375e-008,0.3149
4.80835e-008,0.2977
4.81294e-008,0.2964
4.81753e-008,0.3031
4.82212e-008,0.3018
4.82672e-008,0.2857
4.83131e-008,0.2609
4.83590e-008,0.2357
4.84049e-008,0.2198
4.84509e-008,0.2146
4.84968e-008,0.2213
4.85427e-008,0.2398
4.85886e-008,0.2599
4.86346e-008,0.2731
4.86805e-008,0.2742
4.87264e-008,0.2664
4.87723e-008,0.2532
4.88183e-008,0.2363
