.HEADER
..NAMES
Time,V U3.E7
.DATA
3.05884e-008,-0.0645
3.06309e-008,-0.1747
3.06733e-008,-0.2457
3.07157e-008,-0.2929
3.07581e-008,-0.3256
3.08005e-008,-0.3524
3.08430e-008,-0.3774
3.08854e-008,-0.3972
3.09278e-008,-0.4056
3.09702e-008,-0.4066
3.10127e-008,-0.4002
3.10551e-008,-0.3931
3.10975e-008,-0.3948
3.11400e-008,-0.3806
3.11824e-008,-0.3505
3.12248e-008,-0.3149
3.12672e-008,-0.2625
3.13096e-008,-0.1931
3.13521e-008,-0.1170
3.13945e-008,-0.0468
3.14369e-008,0.0154
3.14793e-008,0.0637
3.15218e-008,0.0929
3.15642e-008,0.1117
3.16066e-008,0.1251
3.16491e-008,0.1350
3.16915e-008,0.1429
3.17339e-008,0.1526
3.17763e-008,0.1626
3.18188e-008,0.1696
3.18612e-008,0.1732
3.19036e-008,0.1708
3.19460e-008,0.1680
3.19884e-008,0.1669
3.20309e-008,0.1623
3.20733e-008,0.1532
3.21157e-008,0.1258
3.21582e-008,0.1084
3.22006e-008,0.1376
3.22430e-008,0.2193
3.22854e-008,0.3562
3.23279e-008,0.5576
3.23703e-008,0.8002
3.24127e-008,1.0443
3.24551e-008,1.2591
3.24975e-008,1.4291
3.25400e-008,1.5497
3.25824e-008,1.6288
3.26248e-008,1.6797
3.26672e-008,1.7166
3.27097e-008,1.7448
3.27521e-008,1.7723
3.27945e-008,1.7993
3.28370e-008,1.8206
3.28794e-008,1.8323
3.29218e-008,1.8329
3.29642e-008,1.8299
3.30066e-008,1.8322
3.30491e-008,1.8308
3.30915e-008,1.8143
3.31339e-008,1.7826
3.31763e-008,1.7365
3.32188e-008,1.6743
3.32612e-008,1.6019
3.33036e-008,1.5338
3.33461e-008,1.4791
3.33885e-008,1.4415
3.34309e-008,1.4208
3.34733e-008,1.4127
3.35158e-008,1.4091
3.35582e-008,1.4051
3.36006e-008,1.3995
3.36430e-008,1.3908
3.36854e-008,1.3797
3.37279e-008,1.3691
3.37703e-008,1.3634
3.38127e-008,1.3648
3.38552e-008,1.3690
3.38976e-008,1.3714
3.39400e-008,1.3734
3.39824e-008,1.3787
3.40249e-008,1.3891
3.40673e-008,1.4054
3.41097e-008,1.4289
3.41521e-008,1.4573
3.41945e-008,1.4855
3.42370e-008,1.5090
3.42794e-008,1.5253
3.43218e-008,1.5330
3.43643e-008,1.5339
3.44067e-008,1.5325
3.44491e-008,1.5319
3.44915e-008,1.5330
3.45340e-008,1.5365
3.45764e-008,1.5420
3.46188e-008,1.5478
3.46612e-008,1.5511
3.47036e-008,1.5503
3.47461e-008,1.5472
3.47885e-008,1.5443
3.48309e-008,1.5423
3.48733e-008,1.5402
3.49158e-008,1.5370
3.49582e-008,1.5317
3.50006e-008,1.5235
3.50431e-008,1.5130
3.50855e-008,1.5019
3.51279e-008,1.4921
3.51703e-008,1.4850
3.52128e-008,1.4818
3.52552e-008,1.4822
3.52976e-008,1.4841
3.53400e-008,1.4856
3.53824e-008,1.4859
3.54249e-008,1.4847
3.54673e-008,1.4820
3.55097e-008,1.4788
3.55522e-008,1.4767
3.55946e-008,1.4767
3.56370e-008,1.4784
3.56794e-008,1.4804
3.57219e-008,1.4821
3.57643e-008,1.4832
3.58067e-008,1.4861
3.58491e-008,1.5010
3.58915e-008,1.4584
3.59340e-008,1.3674
3.59764e-008,1.2423
3.60188e-008,1.0290
3.60613e-008,0.7728
3.61037e-008,0.5076
3.61461e-008,0.2613
3.61885e-008,0.0518
3.62310e-008,-0.1042
3.62734e-008,-0.2010
3.63158e-008,-0.2667
3.63582e-008,-0.3063
3.64006e-008,-0.3342
3.64431e-008,-0.3564
3.64855e-008,-0.3797
3.65279e-008,-0.3965
3.65703e-008,-0.4041
3.66128e-008,-0.4047
3.66552e-008,-0.3964
3.66976e-008,-0.3934
3.67401e-008,-0.3925
3.67825e-008,-0.3489
3.68249e-008,-0.1687
3.68673e-008,0.0627
3.69097e-008,0.3741
3.69522e-008,0.7639
3.69946e-008,1.1319
3.70370e-008,1.4416
3.70794e-008,1.6525
3.71219e-008,1.7743
3.71643e-008,1.8164
3.72067e-008,1.8131
3.72492e-008,1.8093
3.72916e-008,1.8026
3.73340e-008,1.8094
3.73764e-008,1.8204
3.74189e-008,1.8363
3.74613e-008,1.8392
3.75037e-008,1.8267
3.75461e-008,1.7993
3.75885e-008,1.7685
3.76310e-008,1.7529
3.76734e-008,1.7192
3.77158e-008,1.6007
3.77583e-008,1.3366
3.78007e-008,1.0353
3.78431e-008,0.6818
3.78855e-008,0.2817
3.79280e-008,-0.0391
3.79704e-008,-0.2504
3.80128e-008,-0.3486
3.80552e-008,-0.3652
3.80976e-008,-0.3418
3.81401e-008,-0.3174
3.81825e-008,-0.3221
3.82249e-008,-0.3379
3.82673e-008,-0.3643
3.83098e-008,-0.3871
3.83522e-008,-0.3934
3.83946e-008,-0.3783
3.84371e-008,-0.3500
3.84795e-008,-0.3211
3.85219e-008,-0.3020
3.85643e-008,-0.2951
3.86067e-008,-0.2592
3.86492e-008,-0.1807
3.86916e-008,-0.0023
3.87340e-008,0.2298
3.87764e-008,0.4858
3.88189e-008,0.7873
3.88613e-008,1.0298
3.89037e-008,1.2182
3.89462e-008,1.3363
3.89886e-008,1.4058
3.90310e-008,1.4604
3.90734e-008,1.5097
3.91159e-008,1.5762
3.91583e-008,1.6368
3.92007e-008,1.7003
3.92431e-008,1.7460
3.92855e-008,1.7698
3.93280e-008,1.7666
3.93704e-008,1.7480
3.94128e-008,1.7325
3.94553e-008,1.7221
3.94977e-008,1.7187
3.95401e-008,1.7032
3.95825e-008,1.6601
3.96250e-008,1.6124
3.96674e-008,1.5547
3.97098e-008,1.4955
3.97522e-008,1.4550
3.97946e-008,1.4374
3.98371e-008,1.4433
3.98795e-008,1.4576
3.99219e-008,1.4726
3.99644e-008,1.4749
4.00068e-008,1.4616
4.00492e-008,1.4398
4.00916e-008,1.4143
4.01341e-008,1.3931
4.01765e-008,1.3814
4.02189e-008,1.3848
4.02613e-008,1.3974
4.03037e-008,1.4112
4.03462e-008,1.4199
4.03886e-008,1.4201
4.04310e-008,1.4234
4.04734e-008,1.4344
4.05159e-008,1.4606
4.05583e-008,1.4788
4.06007e-008,1.4161
4.06432e-008,1.3292
4.06856e-008,1.1550
4.07280e-008,0.9017
4.07704e-008,0.6207
4.08128e-008,0.3491
4.08553e-008,0.1188
4.08977e-008,-0.0570
4.09401e-008,-0.1646
4.09825e-008,-0.2283
4.10250e-008,-0.2705
4.10674e-008,-0.3025
4.11098e-008,-0.3348
4.11523e-008,-0.3686
4.11947e-008,-0.3986
4.12371e-008,-0.4107
4.12795e-008,-0.4100
4.13220e-008,-0.4029
4.13644e-008,-0.3963
4.14068e-008,-0.4027
4.14492e-008,-0.3967
4.14916e-008,-0.3706
4.15341e-008,-0.3363
4.15765e-008,-0.2852
4.16189e-008,-0.2140
4.16614e-008,-0.1318
4.17038e-008,-0.0529
4.17462e-008,0.0150
4.17886e-008,0.0658
4.18311e-008,0.0933
4.18735e-008,0.1079
4.19159e-008,0.1173
4.19583e-008,0.1250
4.20007e-008,0.1332
4.20432e-008,0.1455
4.20856e-008,0.1602
4.21280e-008,0.1710
4.21704e-008,0.1762
4.22129e-008,0.1735
4.22553e-008,0.1691
4.22977e-008,0.1677
4.23402e-008,0.1648
4.23826e-008,0.1588
4.24250e-008,0.1344
4.24674e-008,0.1124
4.25098e-008,0.1368
4.25523e-008,0.2099
4.25947e-008,0.3373
4.26371e-008,0.5309
4.26795e-008,0.7719
4.27220e-008,1.0199
4.27644e-008,1.2416
4.28068e-008,1.4192
4.28493e-008,1.5451
4.28917e-008,1.6268
4.29341e-008,1.6771
4.29765e-008,1.7122
4.30190e-008,1.7386
4.30614e-008,1.7654
4.31038e-008,1.7938
4.31462e-008,1.8179
4.31886e-008,1.8320
4.32311e-008,1.8336
4.32735e-008,1.8295
4.33159e-008,1.8310
4.33584e-008,1.8304
4.34008e-008,1.8157
4.34432e-008,1.7864
4.34856e-008,1.7432
4.35281e-008,1.6834
4.35705e-008,1.6112
4.36129e-008,1.5411
4.36553e-008,1.4832
4.36977e-008,1.4423
4.37402e-008,1.4194
4.37826e-008,1.4108
4.38250e-008,1.4082
4.38675e-008,1.4058
4.39099e-008,1.4018
4.39523e-008,1.3940
4.39947e-008,1.3825
4.40372e-008,1.3707
4.40796e-008,1.3634
4.41220e-008,1.3638
4.41644e-008,1.3683
4.42068e-008,1.3713
