.HEADER
..NAMES
Time,V U2.H3
.DATA
4.41220e-008,1.2591
4.41644e-008,1.2591
4.42068e-008,1.2562
4.42493e-008,1.2127
4.42917e-008,1.0673
4.43341e-008,0.8882
4.43765e-008,0.7287
4.44190e-008,0.5727
4.44614e-008,0.4380
4.45038e-008,0.3479
4.45463e-008,0.2920
4.45887e-008,0.2578
4.46311e-008,0.2354
4.46735e-008,0.2194
4.47160e-008,0.2153
4.47584e-008,0.2163
4.48008e-008,0.2151
4.48432e-008,0.2153
4.48856e-008,0.2166
4.49281e-008,0.2132
4.49705e-008,0.2066
4.50129e-008,0.1995
4.50554e-008,0.1896
4.50978e-008,0.1853
