.HEADER
..NAMES
Time,V U1.W26
.DATA
3.49158e-008,0.2164
3.49582e-008,0.2166
3.50006e-008,0.2170
3.50431e-008,0.2168
3.50855e-008,0.2166
3.51279e-008,0.2842
3.51703e-008,0.4481
3.52128e-008,0.6254
3.52552e-008,0.8258
3.52976e-008,0.9921
3.53400e-008,1.1038
3.53824e-008,1.1867
3.54249e-008,1.2363
3.54673e-008,1.2668
3.55097e-008,1.2598
3.55522e-008,1.2386
3.55946e-008,1.2155
3.56370e-008,1.1983
3.56794e-008,1.2011
3.57219e-008,1.2142
3.57643e-008,1.2070
3.58067e-008,1.1958
3.58491e-008,1.1864
3.58915e-008,1.1848
3.59340e-008,1.1950
3.59764e-008,1.2264
3.60188e-008,1.2585
3.60613e-008,1.2711
3.61037e-008,1.2750
3.61461e-008,1.2731
3.61885e-008,1.2670
3.62310e-008,1.2621
3.62734e-008,1.2594
3.63158e-008,1.2569
3.63582e-008,1.2502
3.64006e-008,1.2486
3.64431e-008,1.2534
3.64855e-008,1.2596
3.65279e-008,1.2677
3.65703e-008,1.2704
3.66128e-008,1.2665
3.66552e-008,1.2629
3.66976e-008,1.2625
3.67401e-008,1.2639
3.67825e-008,1.2658
3.68249e-008,1.2687
3.68673e-008,1.2676
3.69097e-008,1.2627
3.69522e-008,1.2587
3.69946e-008,1.1890
3.70370e-008,0.9789
3.70794e-008,0.7934
3.71219e-008,0.6143
3.71643e-008,0.4431
3.72067e-008,0.3234
3.72492e-008,0.2577
3.72916e-008,0.2182
3.73340e-008,0.1966
3.73764e-008,0.2106
3.74189e-008,0.2418
3.74613e-008,0.2607
3.75037e-008,0.2775
3.75461e-008,0.2780
3.75885e-008,0.2609
3.76310e-008,0.2738
3.76734e-008,0.2937
3.77158e-008,0.2943
3.77583e-008,0.2888
3.78007e-008,0.2820
3.78431e-008,0.2489
3.78855e-008,0.2072
3.79280e-008,0.2389
3.79704e-008,0.4180
3.80128e-008,0.6038
3.80552e-008,0.8154
3.80976e-008,0.9920
3.81401e-008,1.1148
3.81825e-008,1.1927
3.82249e-008,1.2516
3.82673e-008,1.2846
3.83098e-008,1.2730
3.83522e-008,1.2391
3.83946e-008,1.2110
3.84371e-008,1.1881
3.84795e-008,1.1942
3.85219e-008,1.2166
3.85643e-008,1.2105
3.86067e-008,1.1930
3.86492e-008,1.1820
3.86916e-008,1.1777
3.87340e-008,1.1867
3.87764e-008,1.2229
3.88189e-008,1.2635
3.88613e-008,1.2758
3.89037e-008,1.2755
3.89462e-008,1.2749
3.89886e-008,1.2680
3.90310e-008,1.2618
3.90734e-008,1.2601
3.91159e-008,1.2576
3.91583e-008,1.2482
3.92007e-008,1.2445
3.92431e-008,1.2512
3.92855e-008,1.2594
3.93280e-008,1.2691
3.93704e-008,1.2730
3.94128e-008,1.2672
3.94553e-008,1.2617
3.94977e-008,1.2616
3.95401e-008,1.2636
3.95825e-008,1.2659
3.96250e-008,1.2697
3.96674e-008,1.2689
3.97098e-008,1.2620
3.97522e-008,1.2590
3.97946e-008,1.2337
3.98371e-008,1.0470
3.98795e-008,0.8446
3.99219e-008,0.6646
3.99644e-008,0.4925
4.00068e-008,0.3478
4.00492e-008,0.2734
4.00916e-008,0.2285
4.01341e-008,0.2024
4.01765e-008,0.2023
4.02189e-008,0.2339
4.02613e-008,0.2534
4.03037e-008,0.2733
4.03462e-008,0.2808
4.03886e-008,0.2647
4.04310e-008,0.2671
4.04734e-008,0.2899
4.05159e-008,0.2951
4.05583e-008,0.2896
4.06007e-008,0.2854
4.06432e-008,0.2622
4.06856e-008,0.2171
4.07280e-008,0.2067
4.07704e-008,0.3574
4.08128e-008,0.5509
4.08553e-008,0.7556
4.08977e-008,0.9432
4.09401e-008,1.0869
4.09825e-008,1.1709
4.10250e-008,1.2372
4.10674e-008,1.2769
4.11098e-008,1.2809
4.11523e-008,1.2487
4.11947e-008,1.2205
4.12371e-008,1.1918
4.12795e-008,1.1893
4.13220e-008,1.2112
4.13644e-008,1.2151
4.14068e-008,1.1973
4.14492e-008,1.1846
4.14916e-008,1.1781
4.15341e-008,1.1817
4.15765e-008,1.2094
4.16189e-008,1.2539
4.16614e-008,1.2532
4.17038e-008,1.0705
4.17462e-008,0.8360
4.17886e-008,0.6448
4.18311e-008,0.4782
4.18735e-008,0.3390
4.19159e-008,0.2646
4.19583e-008,0.2089
4.20007e-008,0.1784
4.20432e-008,0.1829
4.20856e-008,0.2287
4.21280e-008,0.2639
4.21704e-008,0.2897
4.22129e-008,0.2898
4.22553e-008,0.2636
4.22977e-008,0.2590
4.23402e-008,0.2887
4.23826e-008,0.3027
4.24250e-008,0.2997
4.24674e-008,0.2909
4.25098e-008,0.2615
4.25523e-008,0.2105
4.25947e-008,0.1896
4.26371e-008,0.3199
4.26795e-008,0.5217
4.27220e-008,0.7206
4.27644e-008,0.9115
4.28068e-008,1.0620
4.28493e-008,1.1541
4.28917e-008,1.2303
4.29341e-008,1.2754
4.29765e-008,1.2867
4.30190e-008,1.2537
4.30614e-008,1.2206
4.31038e-008,1.1911
4.31462e-008,1.1873
4.31886e-008,1.2094
4.32311e-008,1.2196
4.32735e-008,1.2005
4.33159e-008,1.1846
4.33584e-008,1.1762
4.34008e-008,1.1792
4.34432e-008,1.2039
4.34856e-008,1.2489
4.35281e-008,1.2743
4.35705e-008,1.2746
4.36129e-008,1.2743
4.36553e-008,1.2707
4.36977e-008,1.2647
4.37402e-008,1.2617
4.37826e-008,1.2599
4.38250e-008,1.2522
4.38675e-008,1.2434
4.39099e-008,1.2465
4.39523e-008,1.2558
4.39947e-008,1.2657
4.40372e-008,1.2733
4.40796e-008,1.2704
4.41220e-008,1.2627
4.41644e-008,1.2605
4.42068e-008,1.2626
4.42493e-008,1.2651
4.42917e-008,1.2684
4.43341e-008,1.2702
4.43765e-008,1.2648
4.44190e-008,1.2590
4.44614e-008,1.2597
4.45038e-008,1.2617
4.45463e-008,1.2620
4.45887e-008,1.2624
4.46311e-008,1.2626
4.46735e-008,1.2610
4.47160e-008,1.2607
4.47584e-008,1.2640
4.48008e-008,1.2660
4.48432e-008,1.2655
4.48856e-008,1.2638
4.49281e-008,1.2614
4.49705e-008,1.2604
4.50129e-008,1.2617
4.50554e-008,1.2633
4.50978e-008,1.2636
