.HEADER
..NAMES
Time,V U1.R21&P21
.DATA
3.01240e-008,0.0981
3.01580e-008,0.0683
3.01920e-008,0.0544
3.02260e-008,0.0554
3.02600e-008,0.0685
3.02940e-008,0.0947
3.03280e-008,0.1442
3.03620e-008,0.2133
3.03960e-008,0.2791
3.04300e-008,0.3499
3.04640e-008,0.4151
3.04980e-008,0.4781
3.05320e-008,0.5721
3.05660e-008,0.6727
3.06000e-008,0.7910
3.06340e-008,0.9154
3.06680e-008,1.0262
3.07020e-008,1.1138
3.07360e-008,1.1831
3.07700e-008,1.2307
3.08040e-008,1.2567
3.08380e-008,1.2605
3.08720e-008,1.2498
3.09060e-008,1.2358
3.09400e-008,1.2252
3.09740e-008,1.2152
3.10080e-008,1.2103
3.10420e-008,1.2116
3.10760e-008,1.2171
3.11100e-008,1.2322
3.11440e-008,1.2562
3.11780e-008,1.2774
3.12120e-008,1.2964
3.12460e-008,1.3118
3.12800e-008,1.3198
3.13140e-008,1.3211
3.13480e-008,1.2804
3.13820e-008,1.1356
3.14160e-008,0.9576
3.14500e-008,0.7897
3.14840e-008,0.6351
3.15180e-008,0.4931
3.15520e-008,0.3645
3.15860e-008,0.2623
3.16200e-008,0.2137
3.16540e-008,0.2034
3.16880e-008,0.1920
3.17220e-008,0.1842
3.17560e-008,0.1810
3.17900e-008,0.1919
3.18240e-008,0.1921
3.18580e-008,0.1791
3.18920e-008,0.1621
3.19260e-008,0.1561
3.19600e-008,0.1364
3.19940e-008,0.1033
3.20280e-008,0.0720
3.20620e-008,0.0553
3.20960e-008,0.0546
3.21300e-008,0.0659
3.21640e-008,0.0898
3.21980e-008,0.1352
3.22320e-008,0.2029
3.22660e-008,0.2710
3.23000e-008,0.3410
3.23340e-008,0.4055
3.23680e-008,0.4685
3.24020e-008,0.5577
3.24360e-008,0.6567
3.24700e-008,0.7737
3.25040e-008,0.8978
3.25380e-008,1.0121
3.25720e-008,1.1029
3.26060e-008,1.1736
3.26400e-008,1.2254
3.26740e-008,1.2541
3.27080e-008,1.2612
